content,annotation__label__-,annotation__notes,annotation__points__x,annotation__points__y,annotation__imageWidth,annotation__imageHeight,extras
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/8186c3d1-e9d4-4550-8ec1-a062a7628787___0-26.jpg.jpeg,Face,,0.086153846,0.306306306,650,333,null
,,,0.172307692,0.453453453,,,
,Face,,0.583076923,0.291291291,650,333,
,,,0.658461538,0.468468468,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/d1c32c8e-8050-482d-a6c8-b101ccba5b65___0de0ee708a4a47039e441d488615ebb7.png,Face,,0.705308776,0.232604374,1280,697,null
,,,0.769230769,0.361829026,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/aaa5a997-b248-4724-9002-b29117725102___0rCMbYS7vkSINlu61.jpg.jpeg,Face,,0.469565217,0.05,460,240,null
,,,0.606521739,0.333333333,,,
,Face,,0.62826087,0.008333333,460,240,
,,,0.745652174,0.308333333,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/c4efa88f-8218-4675-b5ce-30a03bf8b8f4___1.png,Face,,0.495,0.271477663,600,291,null
,,,0.595,0.4604811,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/dcc9b187-29fe-4734-83f4-3bc7ad117457___1f913f304d4265684fea960106d1132a_when-families-live-together_featuredImage.jpg.jpeg,Face,,0.55862069,0.199386503,580,326,null
,,,0.660344828,0.377300613,,,
,Face,,0.386206897,0.187116564,580,326,
,,,0.489655172,0.404907975,,,
,Face,,0.172413793,0.23006135,580,326,
,,,0.277586207,0.441717791,,,
,Face,,0.715517241,0.199386503,580,326,
,,,0.844827586,0.414110429,,,
,Face,,0.298275862,0.441717791,580,326,
,,,0.418965517,0.653374233,,,
,Face,,0.636206897,0.423312883,580,326,
,,,0.736206897,0.610429448,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4ca2f5aa-83cf-4348-8241-d98a0cf9e2e7___2a63b028915ebd600062f8a552ba097c.jpg.jpeg,Face,,0.486,0.046,500,500,null
,,,0.678,0.272,,,
,Face,,0.374,0.524,500,500,
,,,0.542,0.794,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/45ffc4ac-e24f-4239-b4cc-8dbe597f629a___2B67CA8F00000578-3199800-image-a-1_1439712734572.jpg.jpeg,Face,,0.097791798,0.06162465,634,357,null
,,,0.312302839,0.422969188,,,
,Face,,0.304416404,0.033613445,634,357,
,,,0.466876972,0.406162465,,,
,Face,,0.416403785,0.481792717,634,357,
,,,0.559936909,0.787114846,,,
,Face,,0.515772871,0.212885154,634,357,
,,,0.684542587,0.579831933,,,
,Face,,0.67192429,0.022408964,634,357,
,,,0.80126183,0.403361345,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/d5f6e7eb-f17d-4bed-872b-17a43366ba17___2-hd9pmj.jpg.jpeg,Face,,0.46875,0.271111111,800,450,null
,,,0.565,0.462222222,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/5b6d8f2e-ae21-44ae-bcf1-19d8e8e98b65___3c4f3c819d8771e425ba09462ce2148e--funny-man-so-funny.jpg.jpeg,Face,,0.136,0.324561404,625,1026,null
,,,0.4704,0.555555556,,,
,Face,,0.5552,0.70662768,625,1026,
,,,0.8608,0.848927875,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/93927e0d-c774-49b6-8c4d-a299d00a58e8___3d---4K---2D-HD-DTS-ATMOS-4000--MOVIES---9632354635-FIRST-CONFIRM-VB201705171774173-ak_WBP638920203-1524385027.jpeg,Face,,0.130434783,0.025547445,184,274,null
,,,0.385869565,0.229927007,,,
,Face,,0.614130435,0.094890511,184,274,
,,,0.929347826,0.383211679,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/28242218-0c0c-4530-8095-504ef6ba5c78___4.jpg.jpeg,Face,,0.48,0.103857567,600,337,null
,,,0.771666667,0.679525223,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/bfbdca44-4614-4cea-a0fa-e30a31b663d2___4ac2f735-8419-4c89-910e-a9e6174f3017-1.jpg.jpeg,Face,,0.046296296,0.163541667,648,960,null
,,,0.203703704,0.298958333,,,
,Face,,0.319444444,0.1375,648,960,
,,,0.557098765,0.295833333,,,
,Face,,0.564814815,0.1875,648,960,
,,,0.714506173,0.305208333,,,
,Face,,0.716049383,0.209375,648,960,
,,,0.833333333,0.30625,,,
,Face,,0.822530864,0.23125,648,960,
,,,0.942901235,0.317708333,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/49d8b065-f074-4f93-9f72-85c117ca6877___05-families-fighting-for-change-vogue-february-2018.jpg.jpeg,Face,,0.027709861,0.103571429,5000,3423,null
,,,0.172779136,0.380952381,,,
,Face,,0.200488998,0.220238095,5000,3423,
,,,0.315403423,0.48452381,,,
,Face,,0.530562347,0.116666667,5000,3423,
,,,0.667481663,0.405952381,,,
,Face,,0.676446618,0.29047619,5000,3423,
,,,0.768541157,0.491666667,,,
,Face,,0.778321108,0.177380952,5000,3423,
,,,0.917685412,0.421428571,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/be506eb0-d5a8-432e-8a88-6f262af39484___05HelpingFamiliesGetAhead_0.jpg.jpeg,Face,,0.242686891,0.144208038,1400,642,null
,,,0.3531961,0.364066194,,,
,Face,,0.3531961,0.349881797,1400,642,
,,,0.462621885,0.643026005,,,
,Face,,0.499458288,0.413711584,1400,642,
,,,0.628385699,0.68321513,,,
,Face,,0.639219935,0.106382979,1400,642,
,,,0.735644637,0.36643026,,,
